Year,Course,attendance,Mean_Mark
2,Physics,15.0%,71.3
0,Phys and Astro (FDN),3.8%,43.0
2,Physics,40.7%,62.0
1,Physics,48.5%,10.0
0,Phys and Astro (FDN),30.1%,36.8
1,Theoretical Physics,22.1%,46.8
0,Phys and Astro (FDN),6.2%,0.0
0,Phys and Astro (FDN),39.1%,49.5
3,Physics with Astrophysics,46.0%,48.0
3,Theoretical Physics,23.2%,47.0
4,Physics (IP),19.4%,55.6
2,Theoretical Physics,29.7%,38.5
1,Physics with Astrophysics,38.8%,51.8
0,Phys and Astro (FDN),26.7%,61.0
1,Physics (IP),16.5%,4.3
1,Physics with Astrophysics,45.0%,42.3
3,Physics with Astrophysics,36.8%,5.6
1,Physics with Astrophysics,40.2%,36.3
4,Theoretical Physics,12.5%,64.3
2,Physics,41.1%,75.3
1,Cosmology,37.7%,17.8
1,Physics with Astrophysics,29.9%,51.8
1,Physics,43.3%,27.6
2,Physics,42.9%,16.5
2,Physics with Astrophysics,34.9%,30.0
0,Phys and Astro (FDN),30.1%,12.8
2,Physics with Astrophysics,40.3%,33.5
2,Theoretical Physics,47.5%,59.0
0,Phys and Astro (FDN),34.1%,38.0
0,Phys and Astro (FDN),28.2%,43.5
3,Physics,30.3%,71.0
2,Theoretical Physics,12.9%,10.0
0,Phys and Astro (FDN),47.6%,45.8
0,Phys and Astro (FDN),28.0%,37.3
2,Physics,47.0%,28.5
1,Theoretical Physics,21.0%,24.0
0,Phys and Astro (FDN),41.1%,49.5
1,Astrophysics,41.8%,61.5
3,Physics,38.3%,71.5
1,Physics,14.6%,33.5
0,Phys and Astro (FDN),17.7%,10.8
1,Physics (IP),35.8%,28.8
0,Phys and Astro (FDN),27.3%,29.3
1,Physics,47.6%,32.0
1,Physics,49.8%,58.8
1,Physics,38.2%,53.5
3,Physics,5.6%,62.0
3,Theoretical Physics,0.0%,8.3
2,Physics with Astrophysics,30.7%,45.3
2,Physics with Astrophysics,49.7%,60.8
3,Physics,32.9%,67.5
4,Physics (IP),24.1%,66.0
1,Particle Physics,7.4%,50.8
3,Physics with Astro (YAB),17.0%,13.0
0,Phys and Astro (FDN),37.1%,60.0
1,Physics,23.5%,31.0
3,Physics with Astrophysics,38.9%,72.3
2,Physics,32.6%,15.8
1,Physics,23.1%,47.3
1,Physics with Astrophysics,26.6%,11.0
3,Physics,23.9%,45.8
1,Physics with Astrophysics,17.6%,50.8
3,Physics with Astrophysics,23.6%,29.3
