Name,Redshift,Mean_X,Mean_x_minus_delta,Mean_x_plus_delta,Mean_y,Mean_y_minus_delta,Mean_y_plus_delta
XMMXCS J113313.8+662243.9,0.12,5.031,4.805,5.255,11.087,10.239,11.883
XMMXCS J215336.9+174146.4,0.25,10.599,10.301,10.897,10.363,10.066,10.66
XMMXCS J164020.3+464226.2,0.23,10.589,10.134,11.045,10.22,9.875,10.563
XMMXCS J172226.8+320754.3,0.23,8.548,7.972,9.125,9.069,8.49,9.695
XMMXCS J003706.3+090924.6,0.27,9.089,8.794,9.387,8.693,8.401,8.987
XMMXCS J022154.8-054519.0,0.26,8.675,5.2,17.719,8.684,5.2,17.718
XMMXCS J233757.0+271121.0,0.12,3.588,3.2,4.025,8.671,8.507,8.835
XMMXCS J021837.8-054037.0,0.27,1.244,1.025,1.389,8.536,6.916,10.685
XMMXCS J014430.3+021237.0,0.17,3.023,2.279,4.152,8.331,7.272,9.165
XMMXCS J131129.9-012024.4,0.18,8.632,8.561,8.703,8.281,8.207,8.356
XMMXCS J142601.0+374936.4,0.17,8.953,8.855,9.051,8.23,8.121,8.338
XMMXCS J233738.5+001614.0,0.3,7.603,7.262,8.02,7.603,7.262,8.02
XMMXCS J091752.3+514331.6,0.23,7.513,7.385,7.774,7.513,7.385,7.774
XMMXCS J165944.0+323654.3,0.1,2.917,2.801,3.139,7.35,6.902,8.29
XMMXCS J133519.5+410004.3,0.23,7.344,7.148,7.543,7.344,7.148,7.543
XMMXCS J133244.2+503242.9,0.29,7.106,6.988,7.224,7.218,7.101,7.336
XMMXCS J092052.4+302804.8,0.29,3.889,3.654,4.155,6.948,6.672,7.222
XMMXCS J151012.2+333057.5,0.12,7.287,7.159,7.416,6.901,6.774,7.028
XMMXCS J115516.2+231651.8,0.13,3.367,2.912,3.905,6.861,6.775,6.948
XMMXCS J140101.9+025236.8,0.26,6.839,6.81,6.868,6.839,6.81,6.868
XMMXCS J141936.2+064736.8,0.11,2.801,2.69,2.909,6.63,6.47,6.787
XMMXCS J094530.5+094631.1,0.24,2.316,2.065,2.658,6.547,5.37,8.951
XMMXCS J115524.8+231927.8,0.13,1.328,1.135,1.651,6.385,6.315,6.456
XMMXCS J101703.5+390250.5,0.21,6.31,6.166,6.454,6.329,6.183,6.476
XMMXCS J172010.0+263724.7,0.17,6.19,6.128,6.252,6.267,6.203,6.331
XMMXCS J005559.0+261949.2,0.2,6.329,6.119,6.541,6.205,6.055,6.356
XMMXCS J092021.2+303005.7,0.3,6.025,5.884,6.152,6.025,5.884,6.152
XMMXCS J102339.8+041112.9,0.29,5.629,5.612,5.647,5.629,5.612,5.647
XMMXCS J015242.0+010028.6,0.23,6.123,5.963,6.285,5.579,5.453,5.705
XMMXCS J133233.9+502449.9,0.27,5.892,5.757,6.079,5.473,5.329,5.619
